time,seconds_elapsed,dBFS
1717498730231000000,0.045,-51.25215530395508
1717498730331000000,0.145,-53.082420349121094
1717498730431000000,0.245,-55.57136535644531
1717498730531000000,0.345,-57.60802459716797
1717498730631000000,0.445,-51.58164978027344
1717498730731000000,0.545,-54.17205047607422
1717498730831000000,0.645,-54.94500732421875
1717498730931000000,0.745,-46.050228118896484
1717498731031000000,0.845,-48.11012268066406
1717498731136000000,0.95,-50.64860153198242
1717498731248000000,1.062,-31.0561466217041
1717498731348000000,1.162,-35.603633880615234
1717498731448000000,1.262,-39.37956619262695
1717498731548000000,1.362,-42.14881134033203
1717498731648000000,1.462,-45.10388946533203
1717498731748000000,1.562,-48.13580322265625
1717498731848000000,1.662,-50.11528396606445
1717498731948000000,1.762,-51.992919921875
1717498732048000000,1.862,-53.587642669677734
1717498732148000000,1.962,-52.525550842285156
1717498732248000000,2.062,-26.426393508911133
1717498732348000000,2.162,-31.17813491821289
1717498732464000000,2.278,-35.760597229003906
1717498732565000000,2.379,-39.63307571411133
1717498732665000000,2.479,-42.836971282958984
1717498732765000000,2.579,-45.10844802856445
1717498732865000000,2.679,-48.53346252441406
1717498732965000000,2.779,-47.96732711791992
1717498733065000000,2.879,-50.28091049194336
1717498733165000000,2.979,-51.72804641723633
1717498733265000000,3.079,-30.719404220581055
1717498733365000000,3.179,-35.209930419921875
1717498733465000000,3.279,-38.60097122192383
1717498733565000000,3.379,-42.04298400878906
1717498733665000000,3.479,-44.90343475341797
1717498733765000000,3.579,-46.73837661743164
1717498733865000000,3.679,-48.620323181152344
1717498733965000000,3.779,-44.673179626464844
1717498734065000000,3.879,-46.53233337402344
1717498734165000000,3.979,-48.64323806762695
1717498734265000000,4.079,-26.351627349853516
1717498734365000000,4.179,-29.361177444458008
1717498734465000000,4.279,-33.72418975830078
1717498734565000000,4.379,-37.32219314575195
1717498734665000000,4.479,-40.39397048950195
1717498734765000000,4.579,-43.59514617919922
1717498734865000000,4.679,-47.05704116821289
1717498734965000000,4.779,-49.42656707763672
1717498735065000000,4.879,-49.51431655883789
1717498735165000000,4.979,-47.50191879272461
1717498735270000000,5.084000244140625,-22.65545654296875
1717498735382000000,5.196000244140625,-27.39761734008789
1717498735482000000,5.295999755859375,-31.96674346923828
1717498735582000000,5.396000244140625,-35.399776458740234
1717498735682000000,5.495999755859375,-39.27822494506836
1717498735782000000,5.596000244140625,-42.4482307434082
1717498735882000000,5.695999755859375,-42.60796356201172
1717498735982000000,5.796000244140625,-44.62455749511719
1717498736082000000,5.895999755859375,-47.13688278198242
1717498736182000000,5.996000244140625,-46.16648483276367
1717498736282000000,6.095999755859375,-47.76595687866211
1717498736382000000,6.196000244140625,-27.776159286499023
1717498736482000000,6.295999755859375,-32.446659088134766
1717498736582000000,6.396000244140625,-36.113258361816406
1717498736682000000,6.495999755859375,-40.0198974609375
1717498736782000000,6.596000244140625,-43.00926971435547
1717498736882000000,6.695999755859375,-44.96905517578125
1717498736982000000,6.796000244140625,-46.92607879638672
1717498737082000000,6.895999755859375,-43.397274017333984
1717498737182000000,6.996000244140625,-45.95991516113281
1717498737282000000,7.095999755859375,-48.689369201660156
1717498737382000000,7.196000244140625,-23.164247512817383
1717498737482000000,7.295999755859375,-27.71947479248047
1717498737582000000,7.396000244140625,-31.467742919921875
1717498737682000000,7.495999755859375,-35.77798080444336
1717498737782000000,7.596000244140625,-39.89226531982422
1717498737899000000,7.713,-43.03397750854492
1717498737999000000,7.813,-45.33173751831055
1717498738099000000,7.913,-47.52669906616211
1717498738199000000,8.013,-49.616050720214844
1717498738299000000,8.113,-47.67188262939453
1717498738399000000,8.213,-47.55464553833008
1717498738499000000,8.313,-25.301578521728516
1717498738599000000,8.413,-29.896333694458008
1717498738699000000,8.513,-34.23991775512695
1717498738799000000,8.613,-37.183265686035156
1717498738899000000,8.713,-40.1781005859375
1717498738999000000,8.813,-43.0755500793457
1717498739099000000,8.913,-45.597877502441406
1717498739199000000,9.013,-45.870052337646484
1717498739299000000,9.113,-47.85940170288086
1717498739404000000,9.218,-44.3492546081543
1717498739516000000,9.33,-27.11944007873535
1717498739616000000,9.43,-31.271053314208984
1717498739716000000,9.53,-34.88444137573242
1717498739816000000,9.63,-38.86106491088867
1717498739916000000,9.73,-41.493263244628906
1717498740016000000,9.83,-44.364906311035156
1717498740116000000,9.93,-45.87529373168945
1717498740216000000,10.03,-46.46892547607422
1717498740316000000,10.13,-48.61513137817383
