time,seconds_elapsed,dBFS
1716735564486000000,0.084000244140625,-160
1716735564604000000,0.202,-160
1716735564720000000,0.318,-160
1716735564837000000,0.435,-148
1716735564954000000,0.551999755859375,-126
1716735565071000000,0.669,-115
1716735565191000000,0.789,-107
1716735565306000000,0.903999755859375,-105
1716735565421000000,1.019,-109
1716735565541000000,1.139,-110
1716735565656000000,1.254,-33
1716735565772000000,1.37,-81
1716735565889000000,1.487,-108
1716735566006000000,1.604000244140625,-106
1716735566127000000,1.725,-102
1716735566240000000,1.838,-105
1716735566356000000,1.954,-110
1716735566473000000,2.071,-109
1716735566592000000,2.19,-57
1716735566708000000,2.306,-101
1716735566823000000,2.421,-104
1716735566942000000,2.540000244140625,-108
1716735567061000000,2.659,-105
1716735567173000000,2.771,-107
1716735567291000000,2.889,-108
1716735567410000000,3.007999755859375,-107
1716735567525000000,3.123,-106
1716735567642000000,3.239999755859375,-23
1716735567759000000,3.357,-87
1716735567874000000,3.471999755859375,-102
1716735567992000000,3.59,-107
1716735568109000000,3.707,-104
1716735568226000000,3.823999755859375,-109
1716735568343000000,3.941,-105
1716735568464000000,4.062,-84
1716735568578000000,4.175999755859375,-52
1716735568692000000,4.29,-74
1716735568810000000,4.407999755859375,-103
1716735568927000000,4.525,-106
1716735569044000000,4.642,-106
1716735569162000000,4.759999755859375,-108
1716735569277000000,4.875,-109
1716735569394000000,4.991999755859375,-106
1716735569515000000,5.113,-107
1716735569628000000,5.226,-63
1716735569751000000,5.349,-101
1716735569862000000,5.460000244140625,-104
1716735569980000000,5.578,-101
1716735570094000000,5.692000244140625,-104
1716735570211000000,5.809,-105
1716735570328000000,5.926,-106
1716735570445000000,6.043,-103
1716735570563000000,6.161,-69
1716735570679000000,6.277,-71
1716735570795000000,6.393,-105
1716735570911000000,6.509,-102
1716735571030000000,6.628000244140625,-105
1716735571148000000,6.746,-102
1716735571263000000,6.861,-102
1716735571382000000,6.980000244140625,-97
1716735571496000000,7.094,-108
1716735571615000000,7.213,-92
1716735571731000000,7.329,-99
1716735571846000000,7.444000244140625,-101
1716735571964000000,7.562,-104
1716735572082000000,7.679999755859375,-109
1716735572198000000,7.796000244140625,-107
1716735572314000000,7.911999755859375,-104
1716735572430000000,8.028000244140625,-103
1716735572547000000,8.145,-105
1716735572663000000,8.261,-66
1716735572783000000,8.381,-81
1716735572901000000,8.499,-108
1716735573013000000,8.611,-104
1716735573131000000,8.729,-98
1716735573250000000,8.847999755859375,-105
1716735573365000000,8.963,-90
1716735573482000000,9.079999755859374,-102
1716735573600000000,9.198,-107
1716735573715000000,9.313,-55
1716735573833000000,9.431,-103
1716735573949000000,9.547,-107
1716735574065000000,9.663,-105
1716735574182000000,9.780000244140625,-103
1716735574300000000,9.898,-105
1716735574415000000,10.013,-106
1716735574533000000,10.131,-107
1716735574650000000,10.247999755859375,-105
1716735574765000000,10.363,-60
1716735574882000000,10.479999755859374,-93
1716735575000000000,10.598,-105
1716735575120000000,10.718,-104
1716735575233000000,10.831,-109
1716735575351000000,10.949,-106
1716735575468000000,11.066,-101
1716735575583000000,11.181,-108
1716735575701000000,11.299,-105
1716735575820000000,11.418,-58
1716735575935000000,11.533,-84
1716735576050000000,11.647999755859376,-100
1716735576168000000,11.766,-105
1716735576285000000,11.883,-107
1716735576405000000,12.003,-105
1716735576519000000,12.117,-105
1716735576636000000,12.234,-105
1716735576754000000,12.351999755859374,-103
1716735576869000000,12.467,-105
1716735576986000000,12.583999755859375,-67
1716735577104000000,12.702,-104
1716735577222000000,12.820000244140624,-106
1716735577336000000,12.934,-108
1716735577452000000,13.05,-103
1716735577571000000,13.169,-109
1716735577686000000,13.284000244140625,-107
1716735577804000000,13.402,-105
1716735577924000000,13.522,-108
1716735578040000000,13.638,-75
1716735578154000000,13.751999755859375,-105
1716735578271000000,13.869,-105
1716735578387000000,13.985,-108
1716735578503000000,14.101,-101
1716735578623000000,14.221,-104
1716735578740000000,14.338,-103
1716735578855000000,14.453,-106
1716735578970000000,14.567999755859375,-63
1716735579087000000,14.685,-78
1716735579205000000,14.803,-104
1716735579323000000,14.921,-104
1716735579438000000,15.036000244140626,-106
1716735579554000000,15.151999755859375,-109
1716735579672000000,15.27,-109
1716735579790000000,15.388000244140626,-103
1716735579905000000,15.503,-103
1716735580024000000,15.622,-68
1716735580142000000,15.740000244140624,-98
1716735580257000000,15.855,-107
1716735580373000000,15.971,-103
1716735580490000000,16.087999755859375,-109
1716735580607000000,16.205,-107
1716735580724000000,16.322,-106
1716735580842000000,16.439999755859375,-108
1716735580956000000,16.554,-107
1716735581072000000,16.67,-81
1716735581190000000,16.788000244140626,-104
1716735581307000000,16.905,-108
1716735581423000000,17.021,-106
1716735581540000000,17.138,-105
1716735581660000000,17.258,-104
1716735581773000000,17.371,-102
1716735581891000000,17.489,-106
1716735582007000000,17.605,-73
1716735582125000000,17.723,-45
1716735582242000000,17.839999755859374,-106
1716735582362000000,17.959999755859375,-103
1716735582474000000,18.071999755859373,-107
1716735582594000000,18.191999755859374,-107
1716735582708000000,18.306,-109
1716735582826000000,18.423999755859374,-105
1716735582941000000,18.539,-103
1716735583058000000,18.655999755859376,-46
1716735583175000000,18.773,-83
1716735583291000000,18.889,-104
1716735583409000000,19.007,-106
1716735583525000000,19.123,-107
1716735583645000000,19.243,-104
1716735583764000000,19.362,-109
1716735583878000000,19.476000244140625,-106
1716735583992000000,19.59,-109
1716735584108000000,19.706,-48
1716735584225000000,19.823,-91
1716735584343000000,19.941,-103
1716735584459000000,20.057,-103
1716735584577000000,20.175,-105
1716735584692000000,20.29,-103
1716735584812000000,20.41,-103
1716735584927000000,20.525,-104
1716735585043000000,20.641,-108
1716735585160000000,20.758,-48
1716735585276000000,20.874,-100
1716735585394000000,20.991999755859375,-102
1716735585512000000,21.11,-101
1716735585628000000,21.226,-107
1716735585748000000,21.346,-106
1716735585863000000,21.461,-103
1716735585982000000,21.580000244140624,-104
1716735586100000000,21.698,-106
1716735586211000000,21.809,-60
1716735586330000000,21.927999755859375,-103
1716735586445000000,22.043,-106
1716735586562000000,22.159999755859374,-105
1716735586680000000,22.278,-104
1716735586795000000,22.393,-98
1716735586912000000,22.51,-107
1716735587028000000,22.626,-108
1716735587145000000,22.743,-87
1716735587264000000,22.862,-69
1716735587380000000,22.978,-102
1716735587496000000,23.094,-104
1716735587613000000,23.211,-108
1716735587733000000,23.331,-110
1716735587847000000,23.445,-108
1716735587964000000,23.562,-104
1716735588080000000,23.678,-104
1716735588201000000,23.799,-55
1716735588314000000,23.911999755859377,-89
1716735588431000000,24.029,-106
1716735588547000000,24.145,-105
1716735588664000000,24.262,-107
1716735588783000000,24.381,-105
1716735588904000000,24.502,-107
1716735589015000000,24.613,-106
1716735589130000000,24.727999755859376,-105
1716735589247000000,24.845,-106
1716735589368000000,24.966,-63
1716735589482000000,25.079999755859376,-97
1716735589598000000,25.196000244140624,-106
1716735589715000000,25.313,-108
1716735589831000000,25.429,-110
1716735589950000000,25.548000244140624,-107
1716735590064000000,25.662,-108
1716735590182000000,25.780000244140624,-105
1716735590303000000,25.901,-111
1716735590416000000,26.014,-47
1716735590532000000,26.13,-100
1716735590649000000,26.247,-102
1716735590766000000,26.364000244140627,-105
1716735590885000000,26.483,-104
1716735591003000000,26.601,-103
1716735591117000000,26.715,-105
1716735591234000000,26.831999755859375,-108
1716735591351000000,26.949,-103
1716735591466000000,27.063999755859374,-57
1716735591583000000,27.181,-94
1716735591703000000,27.301,-102
1716735591818000000,27.415999755859374,-105
1716735591934000000,27.532000244140626,-108
1716735592052000000,27.65,-106
1716735592167000000,27.765,-106
1716735592285000000,27.883,-106
1716735592404000000,28.002,-105
1716735592525000000,28.123,-85
1716735592635000000,28.233,-104
1716735592751000000,28.349,-104
1716735592869000000,28.467,-108
1716735592985000000,28.583,-107
1716735593103000000,28.701,-107
1716735593220000000,28.818,-107
1716735593336000000,28.934,-107
1716735593452000000,29.05,-46
1716735593570000000,29.167999755859373,-75
1716735593685000000,29.283,-103
1716735593805000000,29.403,-109
1716735593924000000,29.522,-108
1716735594037000000,29.635,-108
1716735594153000000,29.751,-105
1716735594270000000,29.868000244140624,-106
1716735594385000000,29.983,-71
1716735594503000000,30.101,-65
1716735594622000000,30.220000244140625,-104
1716735594738000000,30.335999755859376,-107
1716735594853000000,30.451,-103
1716735594971000000,30.569,-107
1716735595086000000,30.684000244140623,-108
1716735595206000000,30.804000244140624,-103
1716735595322000000,30.919999755859376,-106
1716735595438000000,31.036000244140624,-59
1716735595553000000,31.151,-94
1716735595672000000,31.27,-103
1716735595788000000,31.386,-106
1716735595904000000,31.502,-108
1716735596022000000,31.620000244140623,-105
1716735596140000000,31.738,-108
1716735596254000000,31.852000244140626,-109
1716735596371000000,31.969,-47
1716735596488000000,32.086,-92
1716735596606000000,32.20400024414062,-103
1716735596722000000,32.31999975585938,-105
1716735596843000000,32.441,-104
1716735596957000000,32.555,-103
1716735597073000000,32.671,-100
1716735597190000000,32.788000244140626,-103
1716735597306000000,32.903999755859374,-103
1716735597423000000,33.021,-87
1716735597540000000,33.138,-58
1716735597657000000,33.255,-104
1716735597773000000,33.371,-107
1716735597890000000,33.48799975585938,-103
1716735598006000000,33.60400024414062,-107
1716735598124000000,33.722,-108
1716735598242000000,33.839999755859374,-106
1716735598359000000,33.957,-101
1716735598474000000,34.07199975585937,-58
1716735598591000000,34.189,-92
1716735598708000000,34.306,-101
1716735598824000000,34.422,-105
1716735598941000000,34.539,-105
1716735599060000000,34.658,-105
1716735599174000000,34.77200024414063,-104
1716735599290000000,34.887999755859376,-102
1716735599408000000,35.006,-67
1716735599525000000,35.123,-85
1716735599642000000,35.23999975585937,-101
1716735599758000000,35.356000244140624,-104
1716735599877000000,35.475,-105
1716735599992000000,35.59,-104
1716735600109000000,35.707,-101
1716735600224000000,35.822,-99
1716735600342000000,35.94000024414063,-98
1716735600458000000,36.055999755859375,-102
1716735600577000000,36.175,-105
1716735600691000000,36.289,-55
1716735600809000000,36.407,-103
1716735600925000000,36.523,-105
1716735601043000000,36.641,-105
1716735601159000000,36.757,-104
1716735601277000000,36.875,-97
1716735601392000000,36.99,-103
1716735601508000000,37.106,-103
1716735601627000000,37.225,-67
1716735601743000000,37.341,-86
1716735601859000000,37.457,-104
1716735601976000000,37.574,-105
1716735602093000000,37.691,-102
1716735602209000000,37.807,-106
1716735602327000000,37.925,-97
1716735602444000000,38.042,-100
1716735602560000000,38.158,-98
1716735602679000000,38.277,-65
1716735602794000000,38.39199975585937,-101
1716735602911000000,38.509,-99
1716735603038000000,38.636000244140625,-102
1716735603144000000,38.742,-97
1716735603264000000,38.862,-102
1716735603382000000,38.980000244140626,-106
1716735603496000000,39.094,-101
1716735603611000000,39.209,-103
1716735603729000000,39.327,-57
1716735603846000000,39.444000244140625,-95
1716735603962000000,39.55999975585937,-104
1716735604080000000,39.678,-105
1716735604197000000,39.795,-100
